person_id,gender,age,race,hispanic?,high_school_grad?,ged_received?,first_gen_college?,past_college_enrollment,zipcode,city,state,veteran_status,lead_created_date,hear_about_campus,utm_marketing_channel,application_start_date,first_meaningful_conversation_date,application_submit_date,interview_date,async_interview_date_c,assessment_decision,assessment_attempts,admit_date,admit_status,enroll_date,c,num_phone_calls,offer_letter_status,offer_letter_status_date,fafsa_status,enrollment_identity_verification_status,highschool_grad_verification_status,Registration Status end of first term,Credits Completed end of first term,Credits attempted in students first term,GPA end of First Term,last_date_attendance,quarter_start_date,quarter_end_date
1,female,42,white,no,yes,no,attended,yes,30296,Riverdale,GA,notApplicable,2024-06-15,natural search,unknown,2024-06-15,,,,,passed,1,,,,FALSE,2,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2,female,27,white,no,yes,no,attended,no,55964,Plainview,MN,notApplicable,2024-06-15,facebook,facebook,2024-06-15,,2024-06-15,,,failed,1,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
3,female,63,black,no,no,yes,attended,no,77545,Fresno,TX,notApplicable,2024-06-15,facebook,unknown,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,8,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
4,female,30,white,no,yes,no,neither,no,46203,Indianapolis,IN,notApplicable,2024-06-15,facebook,facebook,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
5,male,27,white,yes,yes,no,attended,yes,77868,Navasota,TX,notApplicable,2024-06-15,facebook,unknown,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,6,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
6,male,27,black,no,yes,no,neither,yes,46613,South Bend,IN,notApplicable,2024-06-15,facebook,facebook,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,11,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
7,female,28,black,no,yes,no,attended,no,29406,Charleston,SC,notApplicable,2024-06-15,tiktok,facebook,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,10,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
8,female,18,black,no,yes,no,neither,no,36701,Selma,AL,notApplicable,2024-06-15,natural search,facebook,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,1,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
9,male,60,black,no,yes,no,neither,yes,76036,Crowley,TX,notApplicable,2024-06-15,facebook,unknown,2024-06-15,2024-07-01,2024-06-15,2024-07-01,,not taken,0,,,,FALSE,18,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
10,male,29,white,no,yes,no,attended,yes,43025,Hebron,OH,notApplicable,2024-06-15,facebook,unknown,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
12,female,32,white,no,no,yes,attended,no,39532,Biloxi,MS,notApplicable,2024-06-15,facebook,facebook,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,10,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
13,female,29,mixed,yes,no,yes,attended,no,79701,Midland,TX,notApplicable,2024-06-15,tiktok,unknown,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
14,female,26,black,no,yes,no,neither,yes,71107,Shreveport,LA,notApplicable,2024-06-15,facebook,facebook,2024-06-15,2024-06-17,2024-06-15,,,not taken,0,,,,FALSE,7,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
